frame,timestamp_ms,org_acc_x,org_acc_y,org_acc_z,org_gyro_x,org_gyro_y,org_gyro_z
0,1734106243247,-451.4,-528.7479999999999,758.23,-0.44800000000000123,-1.0689000000000002,-1.0465000000000002
1,1734106243314,-459.33,-515.328,746.762,-0.6580000000000013,2.2911,0.14349999999999996
2,1734106243414,-470.188,-533.384,766.282,-2.7580000000000013,4.811100000000001,3.7135000000000002
3,1734106243547,-493.246,-530.334,766.648,-1.4280000000000013,5.4411000000000005,2.5935
4,1734106243647,-486.78,-536.312,770.918,-0.8680000000000012,-1.2789000000000001,-0.6965000000000002
5,1734106243746,-475.43399999999997,-522.404,751.276,-1.0780000000000012,-0.6489,-0.3465000000000001
6,1734106243847,-493.12399999999997,-528.87,752.008,-1.1480000000000012,4.9511,1.9635000000000002
7,1734106243947,-485.194,-538.386,758.352,0.6019999999999989,3.6911000000000005,1.1935000000000002
8,1734106244047,-482.144,-530.944,745.664,-0.028000000000001246,1.3111000000000002,0.07349999999999994
9,1734106244147,-494.71,-523.136,754.5699999999999,-0.8680000000000012,-1.5589000000000002,-0.9765000000000003
10,1734106244248,-505.202,-540.948,780.678,-0.44800000000000123,-4.2189000000000005,-3.1465
11,1734106244347,-465.918,-532.408,767.258,0.6019999999999989,-5.4789,-2.8665000000000003
12,1734106244447,-472.018,-531.188,757.376,0.11199999999999888,1.4511,0.9135
13,1734106244547,-473.48199999999997,-527.65,749.934,0.5319999999999988,1.8011000000000001,0.8435
14,1734106244647,-463.478,-540.948,757.62,-0.16800000000000115,1.0311000000000001,0.7735
15,1734106244747,-459.69599999999997,-533.506,753.838,-1.0080000000000013,3.5511000000000004,2.5935
16,1734106244847,-477.38599999999997,-543.9979999999999,765.55,-0.3780000000000012,2.0111000000000003,0.2835
17,1734106244947,-483.852,-540.582,782.386,1.4419999999999988,0.19110000000000002,-1.2565000000000002
18,1734106245047,-463.844,-527.406,770.674,1.581999999999999,-6.878900000000001,-5.106500000000001
19,1734106245147,-433.466,-522.77,742.2479999999999,2.421999999999999,-2.1189000000000004,-4.336500000000001
20,1734106245247,-442.738,-513.4979999999999,740.662,-1.0780000000000012,4.811100000000001,-0.3465000000000001
21,1734106245348,-467.626,-539.85,775.6759999999999,-2.6880000000000015,6.421100000000001,2.2435
22,1734106245447,-482.022,-535.2139999999999,774.212,-1.1480000000000012,1.4511,-0.06650000000000007
23,1734106245548,-475.312,-537.654,761.158,0.6719999999999989,-1.0689000000000002,-4.056500000000001
24,1734106245650,-471.408,-511.668,747.494,-0.16800000000000115,1.8711000000000002,-2.3065
25,1734106245748,-469.944,-518.9879999999999,742.004,-0.5180000000000012,13.071100000000001,-1.1165
26,1734106245848,-517.402,-517.768,756.034,0.18199999999999883,7.751100000000001,5.3935
27,1734106245948,-485.072,-537.532,748.226,-0.8680000000000012,3.6211,2.8035
28,1734106246048,-494.222,-519.354,726.876,1.3019999999999987,1.2411,2.1735
29,1734106246148,-497.15,-519.598,728.34,-3.2480000000000016,0.33110000000000006,5.2535
30,1734106246248,-511.546,-524.966,724.436,-2.3380000000000014,2.6411000000000002,4.2735
31,1734106246348,-534.2379999999999,-544.73,736.514,-2.7580000000000013,-1.8389000000000002,1.6835000000000002
32,1734106246448,-526.186,-537.654,738.588,0.18199999999999883,-1.0689000000000002,-1.6065
33,1734106246547,-522.8919999999999,-519.11,729.438,-1.4980000000000013,-8.068900000000001,-3.4965
34,1734106246647,-516.182,-527.406,739.808,-0.3080000000000012,-9.3289,-3.6365000000000003
35,1734106246747,-452.986,-550.098,732.8539999999999,-1.1480000000000012,1.5911,-1.1165
36,1734106246847,-512.034,-523.8679999999999,732.976,-0.7980000000000013,2.3611,2.3835
37,1734106246947,-515.694,-520.452,725.29,-4.158000000000001,3.4111000000000002,3.7135000000000002
38,1734106247047,-517.036,-563.396,765.428,-3.1780000000000017,2.9911000000000003,3.4335000000000004
39,1734106247147,-513.4979999999999,-540.948,745.054,-0.7980000000000013,-2.6789000000000005,-0.20650000000000007
40,1734106247248,-511.546,-541.924,739.198,-1.6380000000000012,-2.3289000000000004,1.4035000000000002
41,1734106247347,-497.394,-566.812,759.816,0.7419999999999988,-7.648900000000001,-3.2865
42,1734106247456,-489.70799999999997,-541.0699999999999,751.276,-0.0980000000000012,-3.9389000000000003,-1.5365000000000002
43,1734106247548,-481.046,-538.874,732.366,0.46199999999999897,1.3811,-0.06650000000000007
44,1734106247647,-515.816,-528.016,730.17,-1.2180000000000013,6.841100000000001,2.1035000000000004
45,1734106247748,-505.202,-536.1899999999999,748.836,-0.5880000000000012,3.6211,2.2435
46,1734106247848,-505.08,-551.074,741.76,-5.488000000000001,2.7111,3.9935000000000005
47,1734106247947,-513.01,-550.4639999999999,742.614,-1.4980000000000013,1.4511,2.5235000000000003
48,1734106248047,-499.956,-563.64,749.446,0.6719999999999989,0.40110000000000007,-0.8365000000000001
49,1734106248148,-498.37,-548.756,742.858,1.0919999999999987,-0.9289000000000001,-1.6065
50,1734106248248,-496.418,-550.22,726.754,2.491999999999999,-1.2089000000000003,-3.5665000000000004
51,1734106248347,-507.154,-535.702,744.444,2.981999999999999,0.8211,-3.4965
52,1734106248448,-512.156,-515.694,733.22,2.631999999999999,6.771100000000001,-2.1665
53,1734106248548,-501.664,-530.822,727.242,-0.3080000000000012,-0.3689,-0.2765000000000001
54,1734106248647,-497.882,-531.066,717.726,-0.9380000000000013,5.8611,0.4935
